担当者,アーティスト,曲名（optional）,URL,Happy/Excited,Angry/Frustrated,Tired/Sad,Relax/Chill,ジャンル,id,name,artists,genre,popularity,duration_ms,tempo,key,mode,key_confidence,energy,danceability,valence,instrumentalness,acousticness,loudness,segments_count,segments_avg_duration,beats_count,beats_regularity
黒田,Vaundy,踊り子,https://open.spotify.com/intl-ja/track/1YXot2MLAG9sttepCtBRM7?si=8ac87d38930b457b,Relax/Chill,Angry/Frustrated,Tired/Sad,Relax/Chill,失恋ソング,1YXot2MLAG9sttepCtBRM7,踊り子,['Vaundy'],soul,75.0,229328.0,156.61,7.0,1.0,0.55,0.24,0.49,0.58,0.83,0.99,0.44,74.0,0.38,74.0,0.96
黒田,Vaundy,不可幸力,https://open.spotify.com/intl-ja/track/6AncLCxf4U7ivJEaqih9zA?si=db4b8f674b554d89,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,メッセージソング,6AncLCxf4U7ivJEaqih9zA,不可幸力,['Vaundy'],,69.0,,93.96,9.0,1.0,0.52,0.32,0.43,0.77,0.77,0.96,0.3,46.0,0.64,46.0,0.88
黒田,Vaundy,花占い,https://open.spotify.com/intl-ja/track/4ETc1oFREuqQss7VQ1Y4mj?si=7949939816f14a57,Happy/Excited,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング,4ETc1oFREuqQss7VQ1Y4mj,花占い,['Vaundy'],soul,71.0,207486.0,136.0,10.0,0.0,0.54,0.38,0.5,0.5,0.75,0.93,0.18,66.0,0.44,66.0,0.94
黒田,Vaundy,東京フラッシュ,https://open.spotify.com/intl-ja/track/04e72JtsOIIlHUQ7CvWwvX?si=3783451a4fcf4938,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,失恋ソング,04e72JtsOIIlHUQ7CvWwvX,東京フラッシュ,['Vaundy'],,68.0,,97.51,1.0,0.0,0.59,0.34,0.42,0.49,0.75,0.96,0.24,48.0,0.62,48.0,0.92
黒田,Vaundy,napori,https://open.spotify.com/intl-ja/track/7hDX39mc6Uf6zp8RXYUQ6d?si=1786123c85054a9a,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,失恋ソング,7hDX39mc6Uf6zp8RXYUQ6d,napori,['Vaundy'],,68.0,,129.2,11.0,1.0,0.48,0.28,0.47,0.8,0.78,0.96,0.37,62.0,0.46,62.0,0.94
黒田,Vaundy,逆光,https://open.spotify.com/intl-ja/track/3LZwKI90sFbwjJMMSfyPp7?si=597b4eadcee348ec,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,メッセージソング,3LZwKI90sFbwjJMMSfyPp7,逆光 - replica -,['Vaundy'],j-pop,58.0,237923.0,72.79,8.0,0.0,0.6,0.39,0.35,0.48,0.74,0.93,0.15,35.0,0.82,35.0,0.91
黒田,Vaundy,常熱,https://open.spotify.com/intl-ja/track/5h3ynZiK27wTtQt0uXId75?si=c12d5bb973eb41fa,Happy/Excited,Happy/Excited,Tired/Sad,Happy/Excited,恋愛ソング,5h3ynZiK27wTtQt0uXId75,常熱,['Vaundy'],soul,62.0,239607.0,103.36,2.0,1.0,0.51,0.34,0.43,0.79,0.76,0.94,0.26,50.0,0.58,50.0,0.89
黒田,Vaundy,泣き地蔵,https://open.spotify.com/intl-ja/track/1Wb5MV3aqqFRnaGDjpRTeW?si=277e63f27ad649e2,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,メッセージソング,1Wb5MV3aqqFRnaGDjpRTeW,泣き地蔵,['Vaundy'],,49.0,,120.19,0.0,1.0,0.64,0.34,0.46,0.79,0.76,0.95,0.27,43.0,0.5,43.0,0.93
黒田,Vaundy,Tokimeki,https://open.spotify.com/intl-ja/track/3e0Td8QexmD5l3DJzXbbcC?si=b80f8d0297be4b82,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,応援ソング,3e0Td8QexmD5l3DJzXbbcC,Tokimeki,['Vaundy'],soul,66.0,212495.0,120.19,0.0,0.0,0.65,0.37,0.47,0.5,0.74,0.95,0.19,60.0,0.5,60.0,0.92
黒田,米津玄師,KICK BACK,https://open.spotify.com/intl-ja/track/7oYCBKvdjrqp5vDbhDBuac?si=54cec56ce02342cc,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,鬱ソング,7oYCBKvdjrqp5vDbhDBuac,KICK BACK,['Kenshi Yonezu'],pop,70.0,194293.0,101.33,10.0,0.0,0.61,0.35,0.44,0.49,0.75,0.95,0.25,48.0,0.59,48.0,0.94
黒田,米津玄師,Lemon,https://open.spotify.com/intl-ja/track/04TshWXkhV1qkqHzf31Hn6?si=4b161abfdc1848ff,Tired/Sad,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング,04TshWXkhV1qkqHzf31Hn6,Lemon,['Kenshi Yonezu'],pop,73.0,255826.0,86.13,11.0,1.0,0.5,0.35,0.42,0.77,0.74,0.96,0.19,42.0,0.7,42.0,0.92
黒田,米津玄師,ピースサイン,https://open.spotify.com/intl-ja/track/364JzOajs76bJymjHm3sVY?si=d1ed7c8372734c3a,Happy/Excited,Happy/Excited,Relax/Chill,Happy/Excited,恋愛ソング,364JzOajs76bJymjHm3sVY,ピースサイン - Peace Sign,['Kenshi Yonezu'],pop,73.0,238533.0,99.38,3.0,1.0,0.56,0.36,0.37,0.79,0.75,0.94,0.22,48.0,0.6,48.0,0.93
黒田,米津玄師,感電,https://open.spotify.com/intl-ja/track/6H0PLsSYMzDOqhLgyOlzIj?si=ef7909467ff14c93,Happy/Excited,Happy/Excited,Angry/Frustrated,Relax/Chill,応援ソング,6H0PLsSYMzDOqhLgyOlzIj,感電,['Kenshi Yonezu'],pop,70.0,264533.0,103.36,11.0,0.0,0.51,0.33,0.43,0.49,0.77,0.96,0.28,51.0,0.58,51.0,0.83
黒田,米津玄師,アイネクライネ,https://open.spotify.com/intl-ja/track/45YBVp6zMwQZRbUDcPzmMB?si=f834bee67fdd447b,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,恋愛ソング,45YBVp6zMwQZRbUDcPzmMB,アイネクライネ,['Kenshi Yonezu'],pop,69.0,288013.0,172.27,1.0,0.0,0.6,0.35,0.5,0.49,0.73,0.97,0.17,84.0,0.35,84.0,0.95
黒田,米津玄師,LOSER,https://open.spotify.com/intl-ja/track/7AqUE5AY514dbzeOAfJRa0?si=a33c97b5e9124555,Relax/Chill,Angry/Frustrated,Tired/Sad,Relax/Chill,鬱ソング,7AqUE5AY514dbzeOAfJRa0,LOSER,['Kenshi Yonezu'],pop,67.0,243813.0,120.19,1.0,0.0,0.63,0.34,0.49,0.49,0.76,0.96,0.23,59.0,0.5,59.0,0.96
黒田,米津玄師,打上花火,https://open.spotify.com/intl-ja/track/4IouQaO9GkaHC7AtMErdSa?si=70b658d911f34996,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング,4IouQaO9GkaHC7AtMErdSa,打上花火,"['Daoko', 'Kenshi Yonezu']",electro,67.0,289577.0,95.7,8.0,0.0,0.58,0.36,0.44,0.49,0.74,0.94,0.24,42.0,0.63,42.0,0.96
黒田,米津玄師,春雷,https://open.spotify.com/intl-ja/track/6megNXGjmim4OitjZnIn9v?si=82bcd2383bda42f1,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,恋愛ソング,6megNXGjmim4OitjZnIn9v,春雷,['Kenshi Yonezu'],pop,66.0,288893.0,123.05,3.0,0.0,0.55,0.33,0.48,0.49,0.75,0.96,0.24,62.0,0.49,62.0,0.96
黒田,米津玄師,メランコリーキッチン,https://open.spotify.com/intl-ja/track/5sMZm3jJiLgkbDOGSztRSY?si=2631013355434e60,Happy/Excited,Angry/Frustrated,Tired/Sad,Relax/Chill,恋愛ソング,5sMZm3jJiLgkbDOGSztRSY,メランコリーキッチン,['Kenshi Yonezu'],pop,63.0,218653.0,129.2,9.0,0.0,0.61,0.35,0.47,0.5,0.75,0.95,0.19,61.0,0.46,61.0,0.93
黒田,AKASAKI,Bunny Girl,https://open.spotify.com/intl-ja/track/3CeUMk1K4RPOpyzxn7JKZV?si=1d0ef2847535497a,Happy/Excited,Angry/Frustrated,Relax/Chill,Relax/Chill,恋愛ソング,3CeUMk1K4RPOpyzxn7JKZV,Bunny Girl,['AKASAKI'],,71.0,,161.5,3.0,0.0,0.66,0.28,0.57,0.47,0.79,0.97,0.34,62.0,0.37,62.0,0.93
黒田,AKASAKI,弾きこもり,https://open.spotify.com/intl-ja/track/07D4dLAReaGI2X6fQYbOGK?si=d913edc4ee8c4d6f,Happy/Excited,Angry/Frustrated,Tired/Sad,Relax/Chill,メッセージソング,07D4dLAReaGI2X6fQYbOGK,弾きこもり,['AKASAKI'],,64.0,,120.19,4.0,1.0,0.66,0.29,0.52,0.79,0.79,0.96,0.36,31.0,0.5,31.0,0.91
黒田,Saucy dog,シンデレラボーイ,https://open.spotify.com/intl-ja/track/1Vqs0lXeJafYZz2sxnfB3V?si=d78712f33a94490a,Happy/Excited,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング,1Vqs0lXeJafYZz2sxnfB3V,シンデレラボーイ,['Saucy Dog'],,71.0,,136.0,4.0,1.0,0.6,0.36,0.44,0.8,0.75,0.95,0.2,66.0,0.44,66.0,0.88
黒田,Saucy dog,いつか,https://open.spotify.com/intl-ja/track/0v3iUTe5rskRsxbUhboRlT?si=c121d8e22a86425c,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング,0v3iUTe5rskRsxbUhboRlT,いつか,['Saucy Dog'],,68.0,,161.5,7.0,1.0,0.61,0.35,0.46,0.81,0.74,0.95,0.22,77.0,0.37,77.0,0.94
黒田,Saucy dog,結,https://open.spotify.com/intl-ja/track/5Anr2wqdL182BsI02iCbcd?si=e63a8ea159f54c70,Relax/Chill,Happy/Excited,Tired/Sad,Relax/Chill,恋愛ソング,5Anr2wqdL182BsI02iCbcd,結,['Saucy Dog'],,65.0,,103.36,6.0,0.0,0.53,0.33,0.38,0.49,0.75,0.96,0.27,49.0,0.58,49.0,0.85
黒田,Saucy dog,今更だって僕は言うかな,https://open.spotify.com/intl-ja/track/6NsZYSKBD30LvrB25yAZ2v?si=91824eb28c9848d7,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング,6NsZYSKBD30LvrB25yAZ2v,今更だって僕は言うかな,['Saucy Dog'],,66.0,,112.35,1.0,0.0,0.62,0.35,0.4,0.49,0.75,0.96,0.21,55.0,0.53,55.0,0.87
黒田,Saucy dog,魔法にかけられて,https://open.spotify.com/intl-ja/track/4n1x8gmuHKOJ1BNFnBsgTh?si=c80fabd0c1374ff2,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,恋愛ソング,4n1x8gmuHKOJ1BNFnBsgTh,魔法にかけられて,['Saucy Dog'],,64.0,,112.35,7.0,1.0,0.53,0.35,0.4,0.79,0.76,0.94,0.26,55.0,0.53,55.0,0.87
黒田,Saucy dog,ああ、もう。,https://open.spotify.com/intl-ja/track/0DPNaz9xQ0AKUsCOvfakqy?si=66bb0cd12f0e46b5,Happy/Excited,Happy/Excited,Tired/Sad,Relax/Chill,恋愛ソング,0DPNaz9xQ0AKUsCOvfakqy,あぁ、もう。,['Saucy Dog'],,62.0,,112.35,4.0,1.0,0.54,0.32,0.4,0.79,0.76,0.96,0.3,57.0,0.53,57.0,0.86
黒田,羊文学,more than words,https://open.spotify.com/intl-ja/track/2kXER8pkjxDVQnlagpVJJw?si=8508b194477049ad,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,メッセージソング,2kXER8pkjxDVQnlagpVJJw,more than words,['Hitsujibungaku'],alternative,64.0,289173.0,129.2,1.0,0.0,0.73,0.35,0.5,0.5,0.74,0.95,0.23,64.0,0.46,64.0,0.92
黒田,羊文学,1999,https://open.spotify.com/intl-ja/track/5664npiyyvli6veD4VINZ1?si=11928bf314e746a1,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,メッセージソング,5664npiyyvli6veD4VINZ1,1999,['Hitsujibungaku'],rock,55.0,289060.0,123.05,4.0,1.0,0.64,0.31,0.42,0.69,0.76,0.97,0.26,63.0,0.49,63.0,0.89
黒田,スピッツ,チェリー,https://open.spotify.com/intl-ja/track/1ihCiJaXRl4f6Sy4LJov5z?si=dd51be88a8b14b00,Relax/Chill,Happy/Excited,Tired/Sad,Relax/Chill,恋愛ソング,1ihCiJaXRl4f6Sy4LJov5z,チェリー,['SPITZ'],j-rock,70.0,259933.0,97.51,4.0,1.0,0.55,0.33,0.43,0.75,0.75,0.96,0.21,49.0,0.62,49.0,0.93
黒田,スピッツ,美しい鱗,https://open.spotify.com/intl-ja/track/1H3qOzheTPhE7aVvJOWfvA?si=2cbd7c9cc8494e2b,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,メッセージソング,1H3qOzheTPhE7aVvJOWfvA,美しい鰭,['SPITZ'],rock,68.0,211920.0,198.77,1.0,0.0,0.5,0.34,0.52,0.51,0.74,0.96,0.23,93.0,0.3,93.0,0.94
黒田,スピッツ,ロビンソン,https://open.spotify.com/intl-ja/track/0sVnyL71jTOuMt9TZ59bws?si=e67b597d7c884097,Relax/Chill,Angry/Frustrated,Relax/Chill,Relax/Chill,恋愛ソング,0sVnyL71jTOuMt9TZ59bws,ロビンソン,['SPITZ'],j-rock,68.0,260133.0,112.35,1.0,0.0,0.52,0.33,0.46,0.48,0.75,0.97,0.23,54.0,0.53,54.0,0.95
黒田,スピッツ,空も飛べるはず,https://open.spotify.com/intl-ja/track/3P2aSkjcbUYbcYr13EFE8n?si=82ca49e8ae724194,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,恋愛ソング,3P2aSkjcbUYbcYr13EFE8n,空も飛べるはず,['SPITZ'],j-rock,68.0,271400.0,114.84,7.0,1.0,0.59,0.35,0.48,0.78,0.74,0.95,0.19,57.0,0.52,57.0,0.94
黒田,スピッツ,春の歌,https://open.spotify.com/intl-ja/track/56ISW3rNZJHEkUfVbZ61bq?si=76c26ad9dc8f4169,Happy/Excited,Tired/Sad,Tired/Sad,Relax/Chill,失恋ソング,0ldJSvsmLivbEDWjMl5K2d,"Bad Bitch 美学 Remix (feat. NENE, LANA, MaRI, AI & YURIYAN RETRIEVER)","['AI', 'Awich', 'LANA', 'MaRI', 'NENE', 'YURIYAN RETRIEVER']",,49.0,,105.47,0.0,0.0,0.56,0.32,0.42,0.49,0.76,0.94,0.29,50.0,0.57,50.0,0.85
黒田,Awich,Bad Bitch,https://open.spotify.com/intl-ja/track/0ldJSvsmLivbEDWjMl5K2d?si=8a98dd205ce94b2c,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,パーティーソング,7AsWduh1mkB8uKOox5NH0X,GILA GILA,"['Awich', 'JP THE WAVY', 'YZERR']",,58.0,,132.51,3.0,1.0,0.63,0.3,0.59,0.8,0.78,0.96,0.32,32.0,0.45,32.0,0.94
黒田,Awich,GILAGILA,https://open.spotify.com/intl-ja/track/7AsWduh1mkB8uKOox5NH0X?si=4390065fa50a4d35,Angry/Frustrated,Angry/Frustrated,Angry/Frustrated,Angry/Frustrated,鬱ソング,4WV6zSmQVMmgSAaY9M5bVE,LONGINESS REMIX,"['Awich', 'CHICO CARLITO', 'SugLawd Familiar']",,61.0,,172.27,2.0,1.0,0.57,0.32,0.53,0.81,0.78,0.94,0.31,84.0,0.35,84.0,0.96
黒田,Awich,LONGINESS REMIX,https://open.spotify.com/intl-ja/track/4WV6zSmQVMmgSAaY9M5bVE?si=2e4868a1932f4e02,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,鬱ソング,1jw992uwXhqJJ0H42ucTRL,ルージュの伝言,['Yumi Arai'],singer-songwriter,63.0,182800.0,152.0,10.0,0.0,0.5,0.32,0.48,0.47,0.75,0.96,0.24,74.0,0.39,74.0,0.91
黒田,松任谷由実,ルージュの伝言,https://open.spotify.com/intl-ja/track/1jw992uwXhqJJ0H42ucTRL?si=f9c914598396421c,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,恋愛ソング,3CtnuBSfdpoxHglOGGPgmU,やさしさに包まれたなら,['Yumi Arai'],singer-songwriter,61.0,191726.0,107.67,10.0,0.0,0.54,0.31,0.46,0.45,0.76,0.97,0.27,52.0,0.56,52.0,0.92
黒田,松任谷由実,やさしさに包まれたなら,https://open.spotify.com/intl-ja/track/3CtnuBSfdpoxHglOGGPgmU?si=bfcd5f46fa2e4670,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,メッセージソング,7BgNhufmVuEQjRo86YrsJR,春よ、来い,['Yumi Matsutoya'],singer-songwriter,57.0,288567.0,89.1,10.0,0.0,0.58,0.34,0.43,0.48,0.74,0.96,0.2,40.0,0.67,40.0,0.86
黒田,松任谷由実,春よ、来い,https://open.spotify.com/intl-ja/track/7BgNhufmVuEQjRo86YrsJR?si=3f9af93e16514039,Angry/Frustrated,Angry/Frustrated,Angry/Frustrated,Happy/Excited,メッセージソング,7K1w8pMu2MeXgU3FPqwxbR,恋人がサンタクロース,['Yumi Matsutoya'],singer-songwriter,46.0,305703.0,136.0,9.0,1.0,0.67,0.36,0.45,0.8,0.75,0.95,0.22,67.0,0.44,67.0,0.91
黒田,松任谷由実,恋人がサンタクロース,https://open.spotify.com/intl-ja/track/7K1w8pMu2MeXgU3FPqwxbR?si=f75c21c382d44bb4,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,恋愛ソング,0aRPz0c89bqxTA5spi8iZ7,守ってあげたい,['Yumi Matsutoya'],j-pop,54.0,267179.0,112.35,7.0,1.0,0.57,0.31,0.42,0.79,0.77,0.96,0.31,54.0,0.53,54.0,0.87
黒田,松任谷由実,守ってあげたい,https://open.spotify.com/intl-ja/track/0aRPz0c89bqxTA5spi8iZ7?si=ceee939cdf504465,Relax/Chill,Relax/Chill,Tired/Sad,Tired/Sad,家族ソング,1BMYkyKXS6UfnJteWN7nSD,風になる,['Tsuji Ayano'],singer-songwriter,60.0,276600.0,136.0,7.0,1.0,0.51,0.34,0.51,0.8,0.75,0.95,0.22,65.0,0.44,65.0,0.93
黒田,つじあやの,風になる,https://open.spotify.com/intl-ja/track/1BMYkyKXS6UfnJteWN7nSD?si=8636c42469b542a4,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,応援ソング,5Ek40FyMPprcvtyZDjqylX,What is Love?,['TWICE'],,61.0,,172.27,10.0,0.0,0.52,0.37,0.48,0.51,0.74,0.93,0.21,84.0,0.35,84.0,0.97
黒田,TWICE,What is LOVE?,https://open.spotify.com/intl-ja/track/5Ek40FyMPprcvtyZDjqylX?si=495def457ef64d8c,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング,184XtKkzoAl83quIarUAJP,YES or YES,['TWICE'],,61.0,,139.67,6.0,0.0,0.55,0.38,0.52,0.51,0.74,0.92,0.19,65.0,0.43,65.0,0.97
黒田,TWICE,Yes or Yes,https://open.spotify.com/intl-ja/track/184XtKkzoAl83quIarUAJP?si=79484703f9e4405e,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング,3apeXzypBMnUfYcZYNX6DH,I CAN'T STOP ME,['TWICE'],,59.0,,152.0,10.0,0.0,0.59,0.34,0.51,0.5,0.75,0.96,0.26,73.0,0.39,73.0,0.97
黒田,TWICE,I can`t stop me,https://open.spotify.com/intl-ja/track/3apeXzypBMnUfYcZYNX6DH?si=4dfcc4d8f968484b,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,パーティーソング,14rWuS6yllHOdfZ8sZsZUj,Feel Special,['TWICE'],,63.0,,129.2,0.0,0.0,0.62,0.36,0.49,0.5,0.74,0.93,0.22,60.0,0.46,60.0,0.95
黒田,TWICE,Feel Special,https://open.spotify.com/intl-ja/track/14rWuS6yllHOdfZ8sZsZUj?si=99fca8faf41f4c2b,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,パーティーソング,2FXd6kKCtBIc6UfN1gH1pA,FANCY,['TWICE'],,61.0,,132.51,10.0,0.0,0.52,0.35,0.49,0.5,0.75,0.94,0.26,66.0,0.45,66.0,0.94
黒田,TWICE,FANCY,https://open.spotify.com/intl-ja/track/2FXd6kKCtBIc6UfN1gH1pA?si=5ba1ecd599de40df,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,パーティーソング,6ShgT71C0JcZcy7RqAcdAf,CHEER UP,['TWICE'],,56.0,,114.84,8.0,0.0,0.53,0.35,0.43,0.5,0.75,0.93,0.26,56.0,0.52,56.0,0.91
黒田,TWICE,CHEER UP,https://open.spotify.com/intl-ja/track/6ShgT71C0JcZcy7RqAcdAf?si=8feb45aaf226453e,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,応援ソング,281tmNk46TBQS9ACYMLYyA,Dance The Night Away,['TWICE'],,59.0,,117.45,0.0,0.0,0.59,0.32,0.46,0.49,0.76,0.96,0.29,57.0,0.51,57.0,0.9
黒田,TWICE,Dance the Night Away,https://open.spotify.com/intl-ja/track/281tmNk46TBQS9ACYMLYyA?si=5db421b79d3e427b,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング,7b6WvfgtlRNR8PmHfNhWl5,TT,['TWICE'],,55.0,,129.2,9.0,0.0,0.61,0.32,0.56,0.5,0.77,0.95,0.29,34.0,0.46,34.0,0.94
黒田,TWICE,TT,https://open.spotify.com/intl-ja/track/7b6WvfgtlRNR8PmHfNhWl5?si=8b347e3e6f4d4be9,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング,3WTncYQLL1ISisobk1hThF,"Aloha, E Komo Mai","['Koichi Yamadera', 'Yoko Aramaki']",,52.0,,107.67,4.0,0.0,0.61,0.35,0.47,0.49,0.74,0.95,0.21,33.0,0.56,33.0,0.92
黒田,ディズニーソング,Aloha E Komo Mai,https://open.spotify.com/intl-ja/track/3WTncYQLL1ISisobk1hThF?si=b857d69a7405412e,Happy/Excited,Angry/Frustrated,Relax/Chill,Happy/Excited,パーティーソング,5Vzko6BJyB4M3xKpoK5uHf,A Whole New World - Japanese Version,"['Haruka Kinoshita', 'Tomoya Nakamura']",,47.0,,123.05,0.0,1.0,0.5,0.3,0.46,0.73,0.76,0.97,0.3,58.0,0.49,58.0,0.91
黒田,ディズニーソング,A Whole new world,https://open.spotify.com/intl-ja/track/5Vzko6BJyB4M3xKpoK5uHf?si=db6e307f47a44468,Relax/Chill,Relax/Chill,Tired/Sad,Relax/Chill,恋愛ソング,1tpTMUY3JtRUhAwK3h4I2O,You've Got a Friend in Me - Japanese Version,['Diamond Yukai'],,52.0,,112.35,0.0,1.0,0.48,0.32,0.4,0.75,0.76,0.96,0.26,50.0,0.53,50.0,0.91
黒田,ディズニーソング,you've got friend in me,https://open.spotify.com/intl-ja/track/1tpTMUY3JtRUhAwK3h4I2O?si=2c42941453f74af3,Happy/Excited,Happy/Excited,Relax/Chill,Relax/Chill,友情ソング,0PGCaKqdrvACffXyyHQocH,Friend Like Me - Japanese Version,['Koichi Yamadera'],,53.0,,97.51,9.0,0.0,0.57,0.33,0.42,0.48,0.77,0.96,0.28,48.0,0.62,48.0,0.89
