担当者,アーティスト,曲名（optional）,URL,Happy/Excited,Angry/Frustrated,Tired/Sad,Relax/Chill,ジャンル
黒田,Vaundy,花占い,https://open.spotify.com/intl-ja/track/4ETc1oFREuqQss7VQ1Y4mj?si=7949939816f14a57,Happy/Excited,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング
黒田,Vaundy,東京フラッシュ,https://open.spotify.com/intl-ja/track/04e72JtsOIIlHUQ7CvWwvX?si=3783451a4fcf4938,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,失恋ソング
黒田,Vaundy,napori,https://open.spotify.com/intl-ja/track/7hDX39mc6Uf6zp8RXYUQ6d?si=1786123c85054a9a,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,失恋ソング
黒田,Vaundy,逆光,https://open.spotify.com/intl-ja/track/3LZwKI90sFbwjJMMSfyPp7?si=597b4eadcee348ec,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,メッセージソング
黒田,Vaundy,常熱,https://open.spotify.com/intl-ja/track/5h3ynZiK27wTtQt0uXId75?si=c12d5bb973eb41fa,Happy/Excited,Happy/Excited,Tired/Sad,Happy/Excited,恋愛ソング
黒田,Vaundy,泣き地蔵,https://open.spotify.com/intl-ja/track/1Wb5MV3aqqFRnaGDjpRTeW?si=277e63f27ad649e2,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,メッセージソング
黒田,Vaundy,Tokimeki,https://open.spotify.com/intl-ja/track/3e0Td8QexmD5l3DJzXbbcC?si=b80f8d0297be4b82,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,応援ソング
黒田,米津玄師,KICK BACK,https://open.spotify.com/intl-ja/track/7oYCBKvdjrqp5vDbhDBuac?si=54cec56ce02342cc,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,鬱ソング
黒田,米津玄師,Lemon,https://open.spotify.com/intl-ja/track/04TshWXkhV1qkqHzf31Hn6?si=4b161abfdc1848ff,Tired/Sad,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング
黒田,米津玄師,ピースサイン,https://open.spotify.com/intl-ja/track/364JzOajs76bJymjHm3sVY?si=d1ed7c8372734c3a,Happy/Excited,Happy/Excited,Relax/Chill,Happy/Excited,恋愛ソング
黒田,米津玄師,感電,https://open.spotify.com/intl-ja/track/6H0PLsSYMzDOqhLgyOlzIj?si=ef7909467ff14c93,Happy/Excited,Happy/Excited,Angry/Frustrated,Relax/Chill,応援ソング
黒田,米津玄師,アイネクライネ,https://open.spotify.com/intl-ja/track/45YBVp6zMwQZRbUDcPzmMB?si=f834bee67fdd447b,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,恋愛ソング
黒田,米津玄師,LOSER,https://open.spotify.com/intl-ja/track/7AqUE5AY514dbzeOAfJRa0?si=a33c97b5e9124555,Relax/Chill,Angry/Frustrated,Tired/Sad,Relax/Chill,鬱ソング
黒田,米津玄師,打上花火,https://open.spotify.com/intl-ja/track/4IouQaO9GkaHC7AtMErdSa?si=70b658d911f34996,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング
黒田,米津玄師,春雷,https://open.spotify.com/intl-ja/track/6megNXGjmim4OitjZnIn9v?si=82bcd2383bda42f1,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,恋愛ソング
黒田,米津玄師,メランコリーキッチン,https://open.spotify.com/intl-ja/track/5sMZm3jJiLgkbDOGSztRSY?si=2631013355434e60,Happy/Excited,Angry/Frustrated,Tired/Sad,Relax/Chill,恋愛ソング
黒田,AKASAKI,Bunny Girl,https://open.spotify.com/intl-ja/track/3CeUMk1K4RPOpyzxn7JKZV?si=1d0ef2847535497a,Happy/Excited,Angry/Frustrated,Relax/Chill,Relax/Chill,恋愛ソング
黒田,AKASAKI,弾きこもり,https://open.spotify.com/intl-ja/track/07D4dLAReaGI2X6fQYbOGK?si=d913edc4ee8c4d6f,Happy/Excited,Angry/Frustrated,Tired/Sad,Relax/Chill,メッセージソング
黒田,Saucy dog,シンデレラボーイ,https://open.spotify.com/intl-ja/track/1Vqs0lXeJafYZz2sxnfB3V?si=d78712f33a94490a,Happy/Excited,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング
黒田,Saucy dog,いつか,https://open.spotify.com/intl-ja/track/0v3iUTe5rskRsxbUhboRlT?si=c121d8e22a86425c,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング
黒田,Saucy dog,結,https://open.spotify.com/intl-ja/track/5Anr2wqdL182BsI02iCbcd?si=e63a8ea159f54c70,Relax/Chill,Happy/Excited,Tired/Sad,Relax/Chill,恋愛ソング
黒田,Saucy dog,今更だって僕は言うかな,https://open.spotify.com/intl-ja/track/6NsZYSKBD30LvrB25yAZ2v?si=91824eb28c9848d7,Relax/Chill,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング
黒田,Saucy dog,魔法にかけられて,https://open.spotify.com/intl-ja/track/4n1x8gmuHKOJ1BNFnBsgTh?si=c80fabd0c1374ff2,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,恋愛ソング
黒田,Saucy dog,ああ、もう。,https://open.spotify.com/intl-ja/track/0DPNaz9xQ0AKUsCOvfakqy?si=66bb0cd12f0e46b5,Happy/Excited,Happy/Excited,Tired/Sad,Relax/Chill,恋愛ソング
黒田,羊文学,more than words,https://open.spotify.com/intl-ja/track/2kXER8pkjxDVQnlagpVJJw?si=8508b194477049ad,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,メッセージソング
黒田,羊文学,1999,https://open.spotify.com/intl-ja/track/5664npiyyvli6veD4VINZ1?si=11928bf314e746a1,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,メッセージソング
黒田,スピッツ,チェリー,https://open.spotify.com/intl-ja/track/1ihCiJaXRl4f6Sy4LJov5z?si=dd51be88a8b14b00,Relax/Chill,Happy/Excited,Tired/Sad,Relax/Chill,恋愛ソング
黒田,スピッツ,美しい鱗,https://open.spotify.com/intl-ja/track/1H3qOzheTPhE7aVvJOWfvA?si=2cbd7c9cc8494e2b,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,メッセージソング
黒田,スピッツ,ロビンソン,https://open.spotify.com/intl-ja/track/0sVnyL71jTOuMt9TZ59bws?si=e67b597d7c884097,Relax/Chill,Angry/Frustrated,Relax/Chill,Relax/Chill,恋愛ソング
黒田,スピッツ,空も飛べるはず,https://open.spotify.com/intl-ja/track/3P2aSkjcbUYbcYr13EFE8n?si=82ca49e8ae724194,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,恋愛ソング
黒田,Awich,Bad Bitch,https://open.spotify.com/intl-ja/track/0ldJSvsmLivbEDWjMl5K2d?si=8a98dd205ce94b2c,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,パーティーソング
黒田,Awich,GILAGILA,https://open.spotify.com/intl-ja/track/7AsWduh1mkB8uKOox5NH0X?si=4390065fa50a4d35,Angry/Frustrated,Angry/Frustrated,Angry/Frustrated,Angry/Frustrated,鬱ソング
黒田,Awich,LONGINESS REMIX,https://open.spotify.com/intl-ja/track/4WV6zSmQVMmgSAaY9M5bVE?si=2e4868a1932f4e02,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,鬱ソング
黒田,松任谷由実,ルージュの伝言,https://open.spotify.com/intl-ja/track/1jw992uwXhqJJ0H42ucTRL?si=f9c914598396421c,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,恋愛ソング
黒田,松任谷由実,やさしさに包まれたなら,https://open.spotify.com/intl-ja/track/3CtnuBSfdpoxHglOGGPgmU?si=bfcd5f46fa2e4670,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,メッセージソング
黒田,松任谷由実,春よ、来い,https://open.spotify.com/intl-ja/track/7BgNhufmVuEQjRo86YrsJR?si=3f9af93e16514039,Angry/Frustrated,Angry/Frustrated,Angry/Frustrated,Happy/Excited,メッセージソング
黒田,松任谷由実,恋人がサンタクロース,https://open.spotify.com/intl-ja/track/7K1w8pMu2MeXgU3FPqwxbR?si=f75c21c382d44bb4,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,恋愛ソング
黒田,松任谷由実,守ってあげたい,https://open.spotify.com/intl-ja/track/0aRPz0c89bqxTA5spi8iZ7?si=ceee939cdf504465,Relax/Chill,Relax/Chill,Tired/Sad,Tired/Sad,家族ソング
黒田,つじあやの,風になる,https://open.spotify.com/intl-ja/track/1BMYkyKXS6UfnJteWN7nSD?si=8636c42469b542a4,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,応援ソング
黒田,TWICE,What is LOVE?,https://open.spotify.com/intl-ja/track/5Ek40FyMPprcvtyZDjqylX?si=495def457ef64d8c,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング
黒田,TWICE,Yes or Yes,https://open.spotify.com/intl-ja/track/184XtKkzoAl83quIarUAJP?si=79484703f9e4405e,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング
黒田,TWICE,I can`t stop me,https://open.spotify.com/intl-ja/track/3apeXzypBMnUfYcZYNX6DH?si=4dfcc4d8f968484b,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,パーティーソング
黒田,TWICE,Feel Special,https://open.spotify.com/intl-ja/track/14rWuS6yllHOdfZ8sZsZUj?si=99fca8faf41f4c2b,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,パーティーソング
黒田,TWICE, FANCY,https://open.spotify.com/intl-ja/track/2FXd6kKCtBIc6UfN1gH1pA?si=5ba1ecd599de40df,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,パーティーソング
黒田,TWICE, CHEER UP,https://open.spotify.com/intl-ja/track/6ShgT71C0JcZcy7RqAcdAf?si=8feb45aaf226453e,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,応援ソング
黒田,TWICE,Dance the Night Away,https://open.spotify.com/intl-ja/track/281tmNk46TBQS9ACYMLYyA?si=5db421b79d3e427b,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング
黒田,TWICE,TT,https://open.spotify.com/intl-ja/track/7b6WvfgtlRNR8PmHfNhWl5?si=8b347e3e6f4d4be9,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング
黒田,ディズニーソング,Aloha E Komo Mai,https://open.spotify.com/intl-ja/track/3WTncYQLL1ISisobk1hThF?si=b857d69a7405412e,Happy/Excited,Angry/Frustrated,Relax/Chill,Happy/Excited,パーティーソング
黒田,ディズニーソング,A Whole new world,https://open.spotify.com/intl-ja/track/5Vzko6BJyB4M3xKpoK5uHf?si=db6e307f47a44468,Relax/Chill,Relax/Chill,Tired/Sad,Relax/Chill,恋愛ソング
黒田,ディズニーソング,you've got friend in me,https://open.spotify.com/intl-ja/track/1tpTMUY3JtRUhAwK3h4I2O?si=2c42941453f74af3,Happy/Excited,Happy/Excited,Relax/Chill,Relax/Chill,友情ソング
黒田,ディズニーソング,Friend Like Me,https://open.spotify.com/intl-ja/track/0PGCaKqdrvACffXyyHQocH?si=7c4b5218c9054888,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング
黒田,ディズニーソング,アンダー・ザ・シー,https://open.spotify.com/intl-ja/track/6VLGAKVX52BctqJAz8JOeI?si=fc917e5a1ef84704,Happy/Excited,Relax/Chill,Relax/Chill,Relax/Chill,メッセージソング
黒田,ディズニーソング,レットイットゴー,https://open.spotify.com/intl-ja/track/0FBaIxdqsYgjUuiYOiNfGq?si=77eeb93fde224d20,Tired/Sad,Angry/Frustrated,Tired/Sad,Tired/Sad,鬱ソング
黒田,サザンオールスターズ,TSUNAMI,https://open.spotify.com/intl-ja/track/2iXZA6Ecf9AZHw92tZBNLv?si=887943cf0651442e,Tired/Sad,Tired/Sad,Tired/Sad,Tired/Sad,失恋ソング
黒田,サザンオールスターズ,真夏の果実,https://open.spotify.com/intl-ja/track/3AVLsBieDGotYuo5RPEL64?si=ee6d3a103d2e40d0,Tired/Sad,Tired/Sad,Tired/Sad,Relax/Chill,失恋ソング
黒田,サザンオールスターズ,涙のキッス,https://open.spotify.com/intl-ja/track/7LiUm2lhAw55f51sYATpyZ?si=72f5b2df86544314,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,失恋ソング
黒田,サザンオールスターズ,勝手にシンドバッド,https://open.spotify.com/intl-ja/track/4FZqUouWoxyfTg2rMsx4nX?si=2155558ef6f3466a,Happy/Excited,Angry/Frustrated,Happy/Excited,Relax/Chill,失恋ソング
黒田,サザンオールスターズ,いとしのエリー,https://open.spotify.com/intl-ja/track/0donbyfoyQuz1Y5N9dhkxr?si=95ea5809ae494138,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,恋愛ソング
黒田,サザンオールスターズ,波乗りジョニー,https://open.spotify.com/intl-ja/track/0xciPMDQtopXImYouTzKMp?si=bd235a3926594c64,Relax/Chill,Happy/Excited,Tired/Sad,Relax/Chill,失恋ソング
黒田,サザンオールスターズ,白い恋人達,https://open.spotify.com/intl-ja/track/5hFHG3UfvrOfhcV8anlU8g?si=1ba81ff7aca545df,Tired/Sad,Tired/Sad,Tired/Sad,Relax/Chill,メッセージソング
黒田,BUMP OF CHICKEN,天体観測,https://open.spotify.com/intl-ja/track/3hRRYgBeunE3PTmnzATTS0?si=67b8411cd43e4a75,Happy/Excited,Happy/Excited,Tired/Sad,Relax/Chill,恋愛ソング
黒田,BUMP OF CHICKEN,SOUVENIR,https://open.spotify.com/intl-ja/track/3GLSPr5dyhrNBvDPpdoPDK?si=5f7653c810084aee,Happy/Excited,Happy/Excited,Relax/Chill,Happy/Excited,家族ソング
黒田,BUMP OF CHICKEN,記念撮影,https://open.spotify.com/intl-ja/track/3CWRnJ73vNHynHBY12LITE?si=f5c0e995d7574d3f,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,恋愛ソング
黒田,BUMP OF CHICKEN,カルマ,https://open.spotify.com/intl-ja/track/3Ht2iEekMrHRndj0sC5e2X?si=644d115009264ccd,Happy/Excited,Angry/Frustrated,Tired/Sad,Relax/Chill,友情ソング
黒田,Perfume,FLASH,https://open.spotify.com/intl-ja/track/2IwBJv9KZb486qnRTUchWf?si=0f53bec6254145ec,Happy/Excited,Relax/Chill,Relax/Chill,Relax/Chill,パーティーソング
黒田,Perfume,チョコレイト・ディスコ,https://open.spotify.com/intl-ja/track/2ZRvgRjGRDuvunmHabJ8du?si=ebe65c17b12347a6,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング
黒田,Perfume,TOKYO GIRL,https://open.spotify.com/intl-ja/track/4GeM1lg9SDZXyBlPBlE62L?si=536397dfa7f74f4b,Relax/Chill,Angry/Frustrated,Tired/Sad,Happy/Excited,メッセージソング
黒田,Perfume,ナチュラルに恋して,https://open.spotify.com/intl-ja/track/6zgkpKGJUEvAS6lxdimxeV?si=ea6798750fd3422b,Happy/Excited,Angry/Frustrated,Relax/Chill,Relax/Chill,恋愛ソング
黒田,Perfume,レーザービーム,https://open.spotify.com/intl-ja/track/3mqySweT4nISLmcHXFPUsI?si=03abc23a64574073,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Relax/Chill,恋愛ソング
黒田,Perfume,Magic of LOVE,https://open.spotify.com/intl-ja/track/1cYA3YfOwvpaw7Tj87GpHT?si=4a0ad9bc809c4926,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Relax/Chill,恋愛ソング
黒田,avicii,The Nights,https://open.spotify.com/intl-ja/track/0ct6r3EGTcMLPtrXHDvVjc?si=1ea36a917cf94ca4,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,家族ソング
黒田,avicii,Waiting For Love,https://open.spotify.com/intl-ja/track/5KY4cDf83wJ03EUCJ3rkaf?si=ef31361218b64a34,Happy/Excited,Angry/Frustrated,Tired/Sad,Relax/Chill,恋愛ソング
黒田,ONE OK ROCK,Wherever you are,https://open.spotify.com/intl-ja/track/7a7EIFzJLd7lcDRgThMQgm?si=095dedd8e39d429c,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,恋愛ソング
黒田,ONE OK ROCK,欲望に満ちた青年団,https://open.spotify.com/intl-ja/track/6D6Pybzey0shI8U9ttRAPx?si=68f1f0d3bd234d5d,Relax/Chill,Angry/Frustrated,Relax/Chill,Relax/Chill,メッセージソング
黒田,ONE OK ROCK, The Beginning,https://open.spotify.com/intl-ja/track/1J6MFj60gFCvYqOtjoYkM0?si=485879106fc04553,Angry/Frustrated,Angry/Frustrated,Angry/Frustrated,Angry/Frustrated,メッセージソング
黒田,ONE OK ROCK,Wasted Nights,https://open.spotify.com/intl-ja/track/2gSQoIbvF2hDfIayhF7QLa?si=d79089fbf11e4844,Happy/Excited,Angry/Frustrated,Relax/Chill,Happy/Excited,メッセージソング
黒田,ONE OK ROCK,完全感覚dreamer,https://open.spotify.com/intl-ja/track/30hzxa3MaRd2XXB6kXGlPh?si=4267082b1dc64aa5,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,応援ソング
黒田,ONE OK ROCK,キミシダイ列車,https://open.spotify.com/intl-ja/track/0a5rZP8sYdlvBRVmcNovyC?si=ae5e459e5d544961,Happy/Excited,Angry/Frustrated,Relax/Chill,Relax/Chill,応援ソング
黒田,ONE OK ROCK,努努,https://open.spotify.com/intl-ja/track/3DgBxV8oklNgwhnkfQNIdi?si=6f2b2f13143d479c,Happy/Excited,Angry/Frustrated,Relax/Chill,Happy/Excited,応援ソング
黒田,ONE OK ROCK,自分ROCK,https://open.spotify.com/intl-ja/track/6SkHCwuXmDgOUW4kANhvk6?si=5db53e9e8c0c4728,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,応援ソング
黒田,ONE OK ROCK,未完成交響曲,https://open.spotify.com/intl-ja/track/5dcY3tnR5Id4R9hvM3Fpvp?si=729ac294506a4d9b,Happy/Excited,Angry/Frustrated,Tired/Sad,Relax/Chill,応援ソング
黒田,紫今,ウワサのあの子,https://open.spotify.com/intl-ja/track/44LBQojtOWIv0mgiaOlp0u?si=29a6cd31ceb54584,Happy/Excited,Angry/Frustrated,Tired/Sad,Relax/Chill,恋愛ソング
黒田,紫今,魔性の女A,https://open.spotify.com/intl-ja/track/5HxH3gGdJx18CUuCFg61Lg?si=62c2259ac46f4173,Happy/Excited,Happy/Excited,Relax/Chill,Relax/Chill,恋愛ソング
黒田,FRUITS ZIPPER,私の一番かわいいところ,https://open.spotify.com/intl-ja/track/0yiDwxnb6D0Vh5yyciuStd?si=96a460f7bbbc4610,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング
黒田,FRUITS ZIPPER,かがみ,https://open.spotify.com/intl-ja/track/3D8ZVcI5Y2muA58nXs9d8M?si=3f13b5070a344bdc,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング
黒田,FRUITS ZIPPER,NEW KAWAII,https://open.spotify.com/intl-ja/track/5cyv0C8sidO5KhQiK7ErQ8?si=aeac8e09650441e2,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,パーティーソング
渡邊,Chevon,No.4,https://open.spotify.com/intl-ja/track/1tF3MKAyl82s8bKCSaz7IJ?si=62bdbdf05d5c44b6,Happy/Excited,Happy/Excited,Happy/Excited,Happy/Excited,恋愛ソング
渡邊,Chevon,マイペース,https://open.spotify.com/intl-ja/track/1hvS06xMYSQrHpJBt0TopJ?si=1041ceaf242c436f,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,応援ソング
渡邊,Chevon,銃電中,https://open.spotify.com/intl-ja/track/1LxDnRK7p9eXuag3TB3GNF?si=1c06b045951d40c2,Happy/Excited,Angry/Frustrated,Happy/Excited,Happy/Excited,応援ソング
渡邊,Chevon,サクラループ,https://open.spotify.com/intl-ja/track/0zx6dIuJ03NrViWWro8DEX?si=607ed1fc7ccd457a,Happy/Excited,Relax/Chill,Relax/Chill,Happy/Excited,恋愛ソング
渡邊,Chevon,大行侵,https://open.spotify.com/intl-ja/track/4J9Ls3znYHPjUgp1oTrQgg?si=c2b71e2551964c3a,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,メッセージソング
渡邊,Chevon,ハルキゲニア,https://open.spotify.com/intl-ja/track/7EvQhxwe2M5U5pE287U43u?si=418c763da1a84083,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,恋愛ソング
渡邊,Chevon,セメテモノダンス,https://open.spotify.com/intl-ja/track/3MdgP6R5e73Dc9ocWuqF9v?si=335c67f4a20f43e9,Relax/Chill,Relax/Chill,Tired/Sad,Relax/Chill,鬱ソング
渡邊,Chevon,ダンス・デカダンス,https://open.spotify.com/intl-ja/track/3MuPlYnGnFXvQEeBvMy365?si=f1b680a6935549cf,Happy/Excited,Relax/Chill,Happy/Excited,Happy/Excited,パーティーソング
渡邊,Chevon,DUA•RHYTHM,https://open.spotify.com/intl-ja/track/4gTa2HNlJEfGr9q1s2PsFD?si=00e2f2238f7c4c8b,Happy/Excited,Angry/Frustrated,Tired/Sad,Happy/Excited,メッセージソング
渡邊,Chevon,さよならになりました,https://open.spotify.com/intl-ja/track/6WCO09wLMp8X52m2sOj5yk?si=77b9a53aa312471f,Happy/Excited,Relax/Chill,Relax/Chill,Happy/Excited,恋愛ソング
渡邊,NEE,不革命前夜,https://open.spotify.com/intl-ja/track/1QpR1IDn31SEXHFPF7NYkR?si=47c344a983624960,Happy/Excited,Angry/Frustrated,Happy/Excited,Happy/Excited,メッセージソング
渡邊,NEE,本日の正体,https://open.spotify.com/intl-ja/track/0fGXB6ySJaXCbffo7FLVKK?si=61a0ead0658b4b89,Happy/Excited,Happy/Excited,Tired/Sad,Happy/Excited,鬱ソング
渡邊,NEE,月曜日の歌,https://open.spotify.com/intl-ja/track/0slU2lr3JzrbZAe1Fxf2bm?si=b53f68cb3a2d428d,Happy/Excited,Relax/Chill,Relax/Chill,Happy/Excited,鬱ソング
渡邊,NEE,一揆,https://open.spotify.com/intl-ja/track/3e6CfmH8ApCicWzYBlGD41?si=e1e856c91e9a41bc,Happy/Excited,Angry/Frustrated,Tired/Sad,Happy/Excited,メッセージソング
渡邊,NEE,生命謳歌,https://open.spotify.com/intl-ja/track/4ds7UtHjZaDOqrNfDvEAFu?si=fafc56dff61a40f6,Happy/Excited,Angry/Frustrated,Relax/Chill,Happy/Excited,メッセージソング
渡邊,NEE,ばっどくらい,https://open.spotify.com/intl-ja/track/6530tVpAwEUCoc9y5B34xR?si=7e9d2501279b4531,Happy/Excited,Angry/Frustrated,Angry/Frustrated,Happy/Excited,メッセージソング
渡邊,NEE,バケモノの話,https://open.spotify.com/intl-ja/track/6igRMpvxshpgzMwppQnOe3?si=9caa3c7c11754bf9,Happy/Excited,Tired/Sad,Tired/Sad,Happy/Excited,鬱ソング
渡邊,NEE,歩く花,https://open.spotify.com/intl-ja/track/0lsVVgll039n4J61mR90e1?si=ad3340da495f4d8a,Relax/Chill,Angry/Frustrated,Tired/Sad,Happy/Excited,その他
渡邊,NEE,ボキは最強,https://open.spotify.com/intl-ja/track/7xrdwV3mAQv4w1kIYg9EnF?si=712860118472412e,Happy/Excited,Angry/Frustrated,Tired/Sad,Happy/Excited,その他
渡邊,NEE,アウトバーン,https://open.spotify.com/intl-ja/track/1Ll7LSpXk6xVPaIKjSV73f?si=79267ac14dec4060,Happy/Excited,Angry/Frustrated,Tired/Sad,Relax/Chill,その他
渡邊,Hump Back,拝啓、少年よ,https://open.spotify.com/intl-ja/track/0aaZG5azeJei81A2WptwC8?si=3b9af77de8104462,Happy/Excited,Relax/Chill,Relax/Chill,Relax/Chill,メッセージソング
渡邊,Hump Back,恋をしよう,https://open.spotify.com/intl-ja/track/0z3xsyhI24diExSlIbWm4W?si=b07e876671444d12,Relax/Chill,Relax/Chill,Tired/Sad,Relax/Chill,恋愛ソング
渡邊,Hump Back,LILLY,https://open.spotify.com/intl-ja/track/0JxZPrQs0VrTwjFfXIbhED?si=ead4d12e3e304c9b,Happy/Excited,Relax/Chill,Relax/Chill,Relax/Chill,失恋ソング
渡邊,Hump Back,番狂せ,https://open.spotify.com/intl-ja/track/1r8Tfhx4rDerncDQyuQBEQ?si=83c1593db2174843,Happy/Excited,Angry/Frustrated,Relax/Chill,Happy/Excited,メッセージソング
渡邊,Hump Back,僕らは今日も車の中,https://open.spotify.com/intl-ja/track/0TPxXzXdeWQA0r3njzOVPe?si=17e1b92fb752499f,Relax/Chill,Relax/Chill,Relax/Chill,Relax/Chill,メッセージソング
渡邊,Hump Back,星丘公園,https://open.spotify.com/intl-ja/track/2WvLZXuX5tOBrW0BLawPeE?si=de4ef9bcff7147db,Relax/Chill,Tired/Sad,Tired/Sad,Relax/Chill,失恋ソング
渡邊,Hump Back,クジラ,https://open.spotify.com/intl-ja/track/1pGpFJTzqzW6econ5Y2Lkb?si=8937aa88b5574f2e,Happy/Excited,Relax/Chill,Tired/Sad,Happy/Excited,鬱ソング
